薛海虹,主任医师,上海交通大学医学院附属新华医院,小儿内科,临床经验丰富，擅长小儿呼吸道感染（上感、疱疹性咽炎、支炎、肺炎等）、心血管系统疾病（川崎病、心肌炎、心肌损害、心律失常、先心诊断与咨询）、消化系统疾病（胃肠炎、腹泻病、腹痛、便秘）诊治
郝薇,副主任医师,山东省立医院,儿科,儿科呼吸系统、消化系统、新生儿及婴幼儿护理、喂养、发育、保健等相关问题，尤其擅长新生儿相关疾病的诊断与治疗以及儿童营养、发育方面的咨询与指导。
刘春江,主治医师,广西壮族自治区人民医院,儿科,对儿童各种常见疾病的诊治有丰富的经验，尤其擅长儿童呼吸系统，消化系统，神经系统，血液系统，内分泌系统及新生儿各种疾病的诊治。
余蓉,主任医师,惠州市中心人民医院,儿科,呼吸道疾病、哮喘、过敏性疾病
宋华,主任医师,黑龙江省医院,儿科,1.儿科常见疾病：呼吸系统疾病、消化系统疾病、神经系统疾病、新生儿疾病等的诊治。2.专业特长：消化系统疾病及过敏性疾病的诊治，包括功能性胃肠病、腹泻病、便秘、过敏性鼻炎、过敏性皮炎、支气管哮喘、荨麻疹、食物过敏及其营养指导。3.矮小症及性早熟的诊治。
朱保,主治医师,开封市儿童医院,中医科,擅长中西医结合诊治儿童常见内科疾病：小儿反复肺炎喘嗽，腺样体肥大，顽固性发热，哮喘，厌食，顽固性寻麻疹、湿疹，慢性胃炎，复发性腹痛，腹泻，便秘，遗尿，紫癜，心肌炎，手足口病等常见病多发病的诊治及儿童生长发育迟缓、多动、抽动、小儿脑炎及其后遗症、小儿智力低下、语言发育迟缓、脑损伤综合症，免疫性肌肉病，运动性损伤，重症肌无力等的评定及治疗，经验丰富，疗效独特，创新儿童体质辩证理论，辨证论治小儿免疫力低下，反复呼吸道感染等。
郝薇,副主任医师,山东省立医院,儿科,儿科呼吸系统、消化系统、新生儿及婴幼儿护理、喂养、发育、保健等相关问题，尤其擅长新生儿相关疾病的诊断与治疗以及儿童营养、发育方面的咨询与指导。
嵇若旭,副主任医师,上海交通大学医学院附属新华医院,小儿呼吸科,感染、呼吸系统疾病，尤其是婴幼儿的慢性咳嗽，婴幼儿喘息，难治性肺炎等。
薛海虹,主任医师,上海交通大学医学院附属新华医院,小儿内科,临床经验丰富，擅长小儿呼吸道感染（上感、疱疹性咽炎、支炎、肺炎等）、心血管系统疾病（川崎病、心肌炎、心肌损害、心律失常、先心诊断与咨询）、消化系统疾病（胃肠炎、腹泻病、腹痛、便秘）诊治
钱继红,主任医师,上海交通大学医学院附属新华医院,新生儿科,新生儿常见病诊治（各类型黄疸、新生儿肺炎、RDS、胎粪吸入综合征、新生儿败血症、新生儿CMV感染、新生儿脑损伤、新生儿腹泻病、乳糖不耐受、新生儿各种贫血、先天性肾上腺皮质增生症、早产儿综合管理等等）
